Word,Sender,Hour,Minute,Day,Month,Year,Message,Location,AbsoluteLocation
so,Ganrer,19,32,23,07,2014,1,1,1
griff,Ganrer,19,32,23,07,2014,1,2,2
was,Ganrer,19,32,23,07,2014,1,3,3
just,Ganrer,19,32,23,07,2014,1,4,4
mentioned,Ganrer,19,32,23,07,2014,1,5,5
for,Ganrer,19,32,23,07,2014,1,6,6
the,Ganrer,19,32,23,07,2014,1,7,7
first,Ganrer,19,32,23,07,2014,1,8,8
time,Ganrer,19,32,23,07,2014,1,9,9
you're,JoeSwanson,19,36,23,07,2014,2,1,10
reading,JoeSwanson,19,36,23,07,2014,2,2,11
what,JoeSwanson,19,36,23,07,2014,3,1,12
do,JoeSwanson,19,36,23,07,2014,3,2,13
you,JoeSwanson,19,36,23,07,2014,3,3,14
mean,JoeSwanson,19,36,23,07,2014,3,4,15
explain,JoeSwanson,19,36,23,07,2014,4,1,16
joe,Ganrer,19,36,23,07,2014,5,1,17
ordered,Ganrer,19,36,23,07,2014,5,2,18
me,Ganrer,19,36,23,07,2014,5,3,19
dance,Ganrer,19,36,23,07,2014,5,4,20
i'm,Ganrer,19,36,23,07,2014,6,1,21
84,Ganrer,19,36,23,07,2014,6,2,22
pages,Ganrer,19,36,23,07,2014,6,3,23
in,Ganrer,19,36,23,07,2014,6,4,24
griff,Ganrer,19,37,23,07,2014,7,1,25
was,Ganrer,19,37,23,07,2014,7,2,26
mentioned,Ganrer,19,37,23,07,2014,7,3,27
already,JoeSwanson,19,37,23,07,2014,8,1,28
where's,JoeSwanson,19,37,23,07,2014,8,2,29
tyrion,JoeSwanson,19,37,23,07,2014,8,3,30
only,Ganrer,19,37,23,07,2014,9,1,31
in,Ganrer,19,37,23,07,2014,9,2,32
passing,Ganrer,19,37,23,07,2014,9,3,33
he's,Ganrer,19,37,23,07,2014,10,1,34
on,Ganrer,19,37,23,07,2014,10,2,35
his,Ganrer,19,37,23,07,2014,10,3,36
way,Ganrer,19,37,23,07,2014,10,4,37
out,Ganrer,19,37,23,07,2014,10,5,38
of,Ganrer,19,37,23,07,2014,10,6,39
pentos,Ganrer,19,37,23,07,2014,10,7,40
ahhh,JoeSwanson,19,39,23,07,2014,11,1,41
did,JoeSwanson,19,39,23,07,2014,11,2,42
illyrio,JoeSwanson,19,39,23,07,2014,11,3,43
mention,JoeSwanson,19,39,23,07,2014,11,4,44
him,JoeSwanson,19,39,23,07,2014,11,5,45
what,JoeSwanson,19,39,23,07,2014,11,6,46
