Word,Sender,Hour,Minute,Day,Month,Year,Message,Location,AbsoluteLocation
griff,Ganrer,19,32,23,07,2014,1,2,2
mentioned,Ganrer,19,32,23,07,2014,1,5,5
first,Ganrer,19,32,23,07,2014,1,8,8
time,Ganrer,19,32,23,07,2014,1,9,9
reading,JoeSwanson,19,36,23,07,2014,2,2,11
mean,JoeSwanson,19,36,23,07,2014,3,4,15
explain,JoeSwanson,19,36,23,07,2014,4,1,16
joe,Ganrer,19,36,23,07,2014,5,1,17
ordered,Ganrer,19,36,23,07,2014,5,2,18
dance,Ganrer,19,36,23,07,2014,5,4,20
84,Ganrer,19,36,23,07,2014,6,2,22
pages,Ganrer,19,36,23,07,2014,6,3,23
griff,Ganrer,19,37,23,07,2014,7,1,25
mentioned,Ganrer,19,37,23,07,2014,7,3,27
already,JoeSwanson,19,37,23,07,2014,8,1,28
where's,JoeSwanson,19,37,23,07,2014,8,2,29
tyrion,JoeSwanson,19,37,23,07,2014,8,3,30
passing,Ganrer,19,37,23,07,2014,9,3,33
way,Ganrer,19,37,23,07,2014,10,4,37
pentos,Ganrer,19,37,23,07,2014,10,7,40
ahhh,JoeSwanson,19,39,23,07,2014,11,1,41
illyrio,JoeSwanson,19,39,23,07,2014,11,3,43
mention,JoeSwanson,19,39,23,07,2014,11,4,44
say,JoeSwanson,19,39,23,07,2014,11,9,49
gets,JoeSwanson,19,39,23,07,2014,12,2,51
good,JoeSwanson,19,39,23,07,2014,12,4,53
much,JoeSwanson,19,39,23,07,2014,13,2,55
interesting,JoeSwanson,19,39,23,07,2014,13,3,56
stuff,JoeSwanson,19,39,23,07,2014,13,4,57
gets,JoeSwanson,19,40,23,07,2014,14,2,59
lot,JoeSwanson,19,40,23,07,2014,14,4,61
sweet,JoeSwanson,19,40,23,07,2014,14,6,63
feast,JoeSwanson,19,40,23,07,2014,14,8,65
right,Ganrer,19,40,23,07,2014,15,1,66
gather,Ganrer,19,40,23,07,2014,15,6,71
seems,Ganrer,19,40,23,07,2014,15,8,73
tyrion,Ganrer,19,40,23,07,2014,15,9,74
going,Ganrer,19,40,23,07,2014,15,11,76
volantis,Ganrer,19,40,23,07,2014,15,13,78
meet,Ganrer,19,40,23,07,2014,15,15,80
griff,Ganrer,19,40,23,07,2014,15,17,82
get,Ganrer,19,40,23,07,2014,15,19,84
things,Ganrer,19,40,23,07,2014,15,20,85
ready,Ganrer,19,40,23,07,2014,15,21,86
dany,Ganrer,19,40,23,07,2014,15,23,88
arrive,Ganrer,19,40,23,07,2014,15,25,90
interesting,JoeSwanson,19,41,23,07,2014,16,1,91
interesting,JoeSwanson,19,41,23,07,2014,17,2,93
tyrion,Ganrer,20,04,23,07,2014,18,3,96
targaryion,Ganrer,20,04,23,07,2014,18,6,99
dreams,Ganrer,20,04,23,07,2014,19,2,101
dragons,Ganrer,20,04,23,07,2014,19,4,103
could,Ganrer,20,04,23,07,2014,20,2,105
marry,Ganrer,20,04,23,07,2014,20,3,106
dany,Ganrer,20,04,23,07,2014,20,4,107
rule,Ganrer,20,04,23,07,2014,21,2,109
write,Ganrer,20,05,23,07,2014,22,3,112
fantasy,Ganrer,20,05,23,07,2014,22,4,113
theory,JoeSwanson,20,17,23,07,2014,23,3,116
discussed,JoeSwanson,20,17,23,07,2014,24,5,121
read,JoeSwanson,20,17,23,07,2014,24,8,124
actually,JoeSwanson,22,29,24,07,2014,25,2,126
really,JoeSwanson,22,29,24,07,2014,25,3,127
getting,JoeSwanson,22,29,24,07,2014,25,4,128
boom,JoeSwanson,22,29,24,07,2014,25,6,130
beach,JoeSwanson,22,29,24,07,2014,25,7,131
l,JoeSwanson,22,29,24,07,2014,25,8,132
really,Ganrer,11,06,25,07,2014,26,2,134
l,Ganrer,11,06,25,07,2014,26,4,136
think,Ganrer,11,06,25,07,2014,26,6,138
shot,Ganrer,11,06,25,07,2014,26,8,140
200,Ganrer,11,07,25,07,2014,27,2,142
pages,Ganrer,11,07,25,07,2014,27,3,143
dance,Ganrer,11,07,25,07,2014,27,5,145
bran,Ganrer,11,07,25,07,2014,28,1,146
fly,Ganrer,11,07,25,07,2014,28,3,148
jon,Ganrer,11,07,25,07,2014,29,2,150
must,Ganrer,11,07,25,07,2014,29,3,151
become,Ganrer,11,07,25,07,2014,29,4,152
man,Ganrer,11,07,25,07,2014,29,6,154
loose,Ganrer,11,07,25,07,2014,30,2,156
friends,Ganrer,11,07,25,07,2014,30,4,158
reckon,Ganrer,11,08,25,07,2014,31,2,160
delirious,Ganrer,11,08,25,07,2014,31,3,161
edd,Ganrer,11,08,25,07,2014,31,4,162
betray,Ganrer,11,08,25,07,2014,31,7,165
delirious,JoeSwanson,11,10,25,07,2014,32,1,167
lol,JoeSwanson,11,10,25,07,2014,33,1,168
knows,JoeSwanson,11,10,25,07,2014,34,2,170
could,JoeSwanson,11,10,25,07,2014,35,2,172
anyone,JoeSwanson,11,10,25,07,2014,35,4,174
right,Ganrer,12,02,25,07,2014,36,2,176
good,Ganrer,12,03,25,07,2014,37,3,181
known,JoeSwanson,12,03,25,07,2014,38,2,185
could,JoeSwanson,12,03,25,07,2014,38,4,187
left,Ganrer,15,47,25,07,2014,39,2,190
m'lord,Ganrer,15,47,25,07,2014,40,2,192
classic,JoeSwanson,15,48,25,07,2014,41,4,196
statement,JoeSwanson,15,48,25,07,2014,41,5,197
'don't,JoeSwanson,15,48,25,07,2014,42,1,198
make,JoeSwanson,15,48,25,07,2014,42,2,199
kick,JoeSwanson,15,48,25,07,2014,42,4,201
again',JoeSwanson,15,48,25,07,2014,42,6,203
'oh,JoeSwanson,15,48,25,07,2014,43,1,204
worry,JoeSwanson,15,48,25,07,2014,43,8,211
that',JoeSwanson,15,48,25,07,2014,43,10,213
ahhh,Ganrer,15,48,25,07,2014,44,1,214
see,Ganrer,15,48,25,07,2014,44,3,216
doyle,JoeSwanson,15,48,25,07,2014,45,2,218
leaves,JoeSwanson,15,48,25,07,2014,45,3,219
there's,JoeSwanson,15,48,25,07,2014,45,5,221
